Mag,Lat,Long,Depth,Region,Status,CloserCity
3.6,0.62° N,79.88° W,9.4,Near Coast of Ecuador,M,"15.80km Muisne,Esmeraldas"
4.6,1.02° S,82.38° W,10,Off Coast of Ecuador,M,"184.56km Puerto Lopez,Manabi"
3.7,0.38° N,80.43° W,2.3,Near Coast of Ecuador,M,"52.40km Muisne,Esmeraldas"
4.2,3.07° S,80.13° W,10,Peru-Ecuador Border,M,"28.38km Machala,El Oro"
3.7,0.63° S,81.18° W,10,Off Coast of Ecuador,M,"64.48km Manta,Manabi"
3.5,0.86° N,79.51° W,10,Near Coast of Ecuador,M,"19.92km Esmeraldas,Esmeraldas"
3.5,0.93° N,79.35° W,10,Near Coast of Ecuador,M,"34.03km Esmeraldas,Esmeraldas"
4.5,0.95° N,79.46° W,10,Near Coast of Ecuador,M,"21.89km Esmeraldas,Esmeraldas"
3.7,2.06° S,79.80° W,56.3,Near Coast of Ecuador,M,"11.19km Duran,Guayas"
3.5,0.32° S,81.01° W,5,Off Coast of Ecuador,M,"72.42km Bahia de Caraquez,Manabi"
3.9,0.92° S,80.69° W,10,Near Coast of Ecuador,M,"5.20km Manta,Manabi"
3.8,0.96° N,79.49° W,10,Near Coast of Ecuador,M,"17.79km Esmeraldas,Esmeraldas"
3.4,0.91° N,79.43° W,10,Near Coast of Ecuador,M,"25.66km Esmeraldas,Esmeraldas"
3.1,0.04° S,80.29° W,9.2,Near Coast of Ecuador,M,"17.80km Jama,Manabi"
3.5,0.76° N,80.45° W,8.4,Near Coast of Ecuador,M,"50.80km Muisne,Esmeraldas"
3.4,0.77° N,80.23° W,20.5,Near Coast of Ecuador,M,"29.23km Muisne,Esmeraldas"
3.3,0.72° N,80.37° W,9.6,Near Coast of Ecuador,M,"40.56km Muisne,Esmeraldas"
3.3,0.81° N,80.41° W,2.8,Near Coast of Ecuador,M,"48.54km Muisne,Esmeraldas"
3.3,0.01° S,80.23° W,5.9,Near Coast of Ecuador,M,"21.57km Jama,Manabi"
3.3,0.33° S,80.41° W,4.4,Ecuador - Manabi,M,"21.62km Jama,Manabi"
3.5,0.21° S,80.54° W,8.5,Near Coast of Ecuador,M,"31.11km Jama,Manabi"
3.4,0.09° N,80.32° W,7.4,Near Coast of Ecuador,M,"29.68km Pedernales,Manabi"
3,0.03° N,80.14° W,27,Near Coast of Ecuador,M,"10.95km Pedernales,Manabi"
3.3,0.53° S,80.42° W,4.4,Ecuador - Manabi,M,"8.99km San Vicente,Manabi"
3.3,0.40° N,80.81° W,8.6,Near Coast of Ecuador,M,"90.62km Jama,Manabi"
3.8,0.30° S,79.70° W,26.3,Ecuador - Manabi,M,"25.68km Flavio Alfaro,Manabi"
3.4,0.38° N,80.66° W,6.4,Near Coast of Ecuador,M,"75.51km Muisne,Esmeraldas"
3.1,0.34° N,80.24° W,10.5,Near Coast of Ecuador,M,"35.76km Pedernales,Manabi"
4.2,0.39° S,80.32° W,13.1,Ecuador - Manabi,M,"21.77km Jama,Manabi"
3.2,0.40° N,80.41° W,5,Near Coast of Ecuador,M,"49.44km Muisne,Esmeraldas"
3.1,0.41° N,80.61° W,10.4,Near Coast of Ecuador,M,"68.71km Muisne,Esmeraldas"
3.9,0.81° S,80.48° W,10,Near Coast of Ecuador,M,"13.03km Rocafuerte,Manabi"
4.4,0.87° S,80.73° W,10,Near Coast of Ecuador,M,"11.31km Manta,Manabi"
3.3,0.36° S,81.12° W,3,Off Coast of Ecuador,M,"81.89km Manta,Manabi"
3.5,0.11° S,81.13° W,5,Off Coast of Ecuador,M,"96.45km Bahia de Caraquez,Manabi"
4.3,0.02° S,80.27° W,11.9,Near Coast of Ecuador,M,"20.54km Jama,Manabi"
3.1,0.12° S,79.14° W,4.8,Ecuador - Santo Domingo,M,"13.75km Sto Domingo,Sto Dom Tsachilas"
4.2,0.86° S,80.70° W,10,Near Coast of Ecuador,M,"12.34km Manta,Manabi"
3.5,0.11° S,80.71° W,5,Near Coast of Ecuador,M,"50.69km Jama,Manabi"
3.5,0.14° S,80.66° W,5.6,Near Coast of Ecuador,M,"44.90km Jama,Manabi"
