Mag,Latitude,Longitude,CloserCity,Depth,Region,categoryMag,categoryDepth,Cluster,
472,1.07,-79.98,6.3,3.2," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
475,0.88,-79.7,9.2,3.2," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
476,0.82,-79.82,12,2.9," Atacames,Esmeraldas",Esmeraldas,1.0 - 3.0,0,
481,0.86,-79.68,5.7,3.2," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
482,0.93,-79.84,6.4,5.8," Atacames,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
484,0.98,-79.7,9,3.3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
485,0.95,-79.9,9.7,3.3," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
488,0.68,-79.74,0.4,3.6," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
489,0.65,-80.09,2.9,5.2," Muisne,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
492,1,-79.99,10.4,2.8," Atacames,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
503,1,-79.26,4,3.7," Esmeraldas,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
506,0.74,-79.77,9.1,5.7," Atacames,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
522,0.48,-79.92,18.6,4.7," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
523,0.43,-79.91,11.2,5," Muisne,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
527,0.96,-79.85,5,5.1," Atacames,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
528,0.96,-79.82,4.7,5.1," Atacames,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
543,0.6,-80.07,3,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
552,0.87,-79.76,9.2,3.6," Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
558,0.73,-79.63,10.8,3.6," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
560,0.65,-80.05,6.7,3.9," Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
562,0.63,-80.15,8.7,4," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
576,0.9,-79.53,12.2,3.1," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
577,0.18,-80.09,5.2,3.8," Pedernales,Manabi",Near Coast of Ecuador,3.0 - 3.9,0,
582,0.95,-79.53,10,3.2," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
588,1.02,-79.51,10,3.2," Esmeraldas,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
599,1.36,-79.61,9.5,3.8," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
604,0.95,-79.49,5.1,4.1," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
605,0.92,-79.47,4.3,3.8," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
606,0.78,-78.97,10,3.5," San Lorenzo,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
608,0.88,-79.72,3.9,3.4," Esmeraldas,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
616,0.92,-79.44,1.9,3.4," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
625,1.38,-79.27,3.1,3.7," San Lorenzo,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
628,0.62,-80.25,10,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
631,0.55,-79.95,6.8,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
633,0.57,-79.21,31.1,4.1," Quininde,Esmeraldas",Esmeraldas,4.0 - 4.9,0,
636,0.25,-80.01,8.1,4.2," Pedernales,Manabi",Manabi,4.0 - 4.9,0,
637,0.88,-79.77,14.4,3.7," Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
658,1.18,-78.84,28.3,3.5," San Lorenzo,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
659,0.61,-80.09,5.8,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
662,0.61,-80.07,5.8,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
672,0.63,-80.06,5.8,3.9," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
674,0.93,-79.7,5.7,4," Esmeraldas,Esmeraldas",Esmeraldas,4.0 - 4.9,0,
675,0.67,-80.12,2.4,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
718,1.26,-79.7,4.2,3.3," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
723,1.06,-79.94,6.1,3.1," Atacames,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
725,1.34,-78.74,74.6,4.1," San Lorenzo,Esmeraldas",Esmeraldas,4.0 - 4.9,0,
727,1.02,-79.51,26.8,2.9," Esmeraldas,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
728,0.76,-79.75,8,5.5," Atacames,Esmeraldas",Esmeraldas,5.0 - 5.9,0,
729,1.25,-79.65,29.4,3.9," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
734,0.58,-80.17,4.5,4.3," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
735,0.59,-80.27,9.2,3.7," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
736,0.61,-80.2,11.4,3.6," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
740,1.03,-79.95,12.1,3," Atacames,Esmeraldas",Near Coast of Ecuador,1.0 - 3.0,0,
742,0.6,-80.11,8,3.5," Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
743,1.16,-79.5,10,3.2," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
749,1.24,-79.34,10,3.7," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
753,1.06,-79.68,15.6,4.5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
756,1.24,-79.81,7.4,3.6," Esmeraldas,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
779,0.32,-79.95,9.9,3.6," Pedernales,Manabi",Esmeraldas,3.0 - 3.9,0,
808,1.15,-79.68,6.9,5," Esmeraldas,Esmeraldas",Near Coast of Ecuador,5.0 - 5.9,0,
822,0.62,-80.08,7.5,4.5," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
824,0.6,-80.13,7.2,4.5," Muisne,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
830,0.62,-79.96,5.9,3.3," Muisne,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
845,0.72,-80.1,6.2,3.9,"Muisne,Esmeraldas",Near Coast of Ecuador,3.0 - 3.9,0,
875,1.28,-79.99,0.7,4.1,"Atacames,Esmeraldas",Near Coast of Ecuador,4.0 - 4.9,0,
901,0.78,-79.78,17.5,3.9,"Atacames,Esmeraldas",Esmeraldas,3.0 - 3.9,0,
