"Mag,LocalHour,Lat,Long,Depth,Region,Status,CloserCity,UTCHour,LastUpdate"
"3.4,21-05-2016 22:18,0.23? S,80.77? W,7.3,Near Coast of Ecuador,M,""56.85km Jama,Manabi"",22-05-2016 3:18,22-05-2016 11:08"
"3.7,22-05-2016 9:44,2.04? S,80.68? W,9.4,Ecuador - Santa Elena,M,""23.27km Santa Elena,Santa Elena"",22-05-2016 14:44,22-05-2016 14:50"
"3.2,22-05-2016 15:53,0.91? N,80.46? W,9.7,Near Coast of Ecuador,M,""58.77km Muisne,Esmeraldas"",22-05-2016 20:53,22-05-2016 21:03"
"3.7,22-05-2016 21:28,0.30? N,80.32? W,9.5,Near Coast of Ecuador,M,""39.02km Pedernales,Manabi"",23-05-2016 2:28,23-05-2016 2:33"
"3.6,22-05-2016 16:12,0.96? N,80.43? W,4.3,Near Coast of Ecuador,M,""59.49km Muisne,Esmeraldas"",22-05-2016 21:12,23-05-2016 13:48"
"3.5,23-05-2016 0:52,0.92? S,80.74? W,3.5,Near Coast of Ecuador,M,""6.46km Manta,Manabi"",23-05-2016 5:52,23-05-2016 15:58"
"3.8,23-05-2016 22:16,1.80? S,77.39? W,5,Ecuador - Pastaza,M,""75.78km Puyo,Pastaza"",24-05-2016 3:16,24-05-2016 3:20"
"4.7,24-05-2016 16:03,0.52? N,79.90? W,9.3,Near Coast of Ecuador,M,""16.88km Muisne,Esmeraldas"",24-05-2016 21:03,24-05-2016 21:08"
"3.9,25-05-2016 1:14,3.27? S,80.73? W,10,Peru-Ecuador Border,M,""60.89km Huaquillas,El Oro"",25-05-2016 6:14,25-05-2016 6:20"
"4.5,25-05-2016 15:20,0.62? S,81.11? W,3.5,Off Coast of Ecuador,M,""59.29km Manta,Manabi"",25-05-2016 20:20,25-05-2016 20:49"
"3.6,25-05-2016 16:21,0.36? N,80.88? W,10,Near Coast of Ecuador,M,""92.59km Jama,Manabi"",25-05-2016 21:21,25-05-2016 21:40"
"4.3,25-05-2016 19:42,0.35? N,80.78? W,10,Near Coast of Ecuador,M,""84.22km Jama,Manabi"",26-05-2016 0:42,26-05-2016 0:47"
"3.6,26-05-2016 22:31,0.35? S,79.66? W,16.6,Ecuador - Manabi,M,""23.74km El Carmen,Manabi"",27-05-2016 3:31,27-05-2016 3:38"
"3.8,26-05-2016 23:09,2.10? S,80.24? W,8.9,Ecuador - Guayas,M,""26.06km Isidro Ayora,Guayas"",27-05-2016 4:09,27-05-2016 4:17"
"3.4,28-05-2016 14:43,0.21? N,80.21? W,7.3,Near Coast of Ecuador,M,""23.80km Pedernales,Manabi"",28-05-2016 19:43,28-05-2016 19:53"
"3.6,29-05-2016 4:17,0.13? S,81.01? W,10,Off Coast of Ecuador,M,""83.64km Jama,Manabi"",29-05-2016 9:17,29-05-2016 12:12"
"3.5,30-05-2016 2:49,1.14? S,81.33? W,5,Off Coast of Ecuador,M,""71.91km Manta,Manabi"",30-05-2016 7:49,30-05-2016 7:57"
"3.5,30-05-2016 20:18,0.53? N,80.79? W,10,Near Coast of Ecuador,M,""85.98km Muisne,Esmeraldas"",31-05-2016 1:18,31-05-2016 1:34"
